msg_id,ts,channel,answered,response_minutes,loss_reason,intent,care_type
msg_20260214_00088,2026-02-14T15:08:00+00:00,website,True,120,,intake,complaint_late
msg_20260214_00089,2026-02-14T14:50:00+00:00,instagram,True,60,,general,complaint_damaged
msg_20260214_00090,2026-02-14T21:32:00+00:00,instagram,True,120,,intake,complaint_late
msg_20260214_00091,2026-02-14T14:36:00+00:00,website,True,20,,general,refund_request
msg_20260214_00092,2026-02-14T12:08:00+00:00,website,True,8,,intake,complaint_damaged
msg_20260214_00093,2026-02-14T18:02:00+00:00,website,True,12,,intake,complaint_damaged
msg_20260214_00094,2026-02-14T15:41:00+00:00,website,True,8,,general,complaint_taste
msg_20260214_00095,2026-02-14T13:46:00+00:00,website,False,,date_unavailable,intake,general_question
msg_20260214_00096,2026-02-14T15:32:00+00:00,website,True,20,,intake,refund_request
msg_20260214_00097,2026-02-14T13:28:00+00:00,website,False,,no_reply_30min,general,complaint_taste
msg_20260214_00098,2026-02-14T13:07:00+00:00,website,True,20,,care,refund_request
msg_20260214_00099,2026-02-14T16:26:00+00:00,website,True,8,,intake,status
msg_20260214_00100,2026-02-14T17:27:00+00:00,website,True,35,,general,general_question
msg_20260215_00101,2026-02-15T14:58:00+00:00,website,True,120,,intake,status
msg_20260215_00102,2026-02-15T17:57:00+00:00,whatsapp,True,20,,general,complaint_damaged
msg_20260215_00103,2026-02-15T16:20:00+00:00,whatsapp,False,,price_concern,intake,complaint_damaged
msg_20260215_00104,2026-02-15T21:09:00+00:00,whatsapp,True,8,,intake,complaint_late
msg_20260215_00105,2026-02-15T21:22:00+00:00,whatsapp,True,35,,intake,general_question
msg_20260215_00106,2026-02-15T12:03:00+00:00,whatsapp,True,120,,custom,complaint_late
msg_20260215_00107,2026-02-15T11:18:00+00:00,whatsapp,True,20,,custom,refund_request
msg_20260215_00108,2026-02-15T16:55:00+00:00,instagram,True,20,,general,complaint_taste
msg_20260215_00109,2026-02-15T18:27:00+00:00,website,True,60,,intake,general_question
msg_20260215_00110,2026-02-15T13:13:00+00:00,website,False,,allergen_unclear,care,complaint_taste
msg_20260215_00111,2026-02-15T16:32:00+00:00,whatsapp,False,,no_reply_30min,general,complaint_damaged
msg_20260215_00112,2026-02-15T10:46:00+00:00,whatsapp,True,3,,care,refund_request
msg_20260215_00113,2026-02-15T18:16:00+00:00,website,True,12,,custom,general_question
msg_20260215_00114,2026-02-15T12:52:00+00:00,whatsapp,False,,allergen_unclear,intake,general_question
msg_20260215_00115,2026-02-15T16:45:00+00:00,website,False,,allergen_unclear,care,general_question
msg_20260215_00116,2026-02-15T19:36:00+00:00,whatsapp,True,120,,custom,complaint_taste
msg_20260216_00117,2026-02-16T14:24:00+00:00,website,True,20,,care,complaint_damaged
msg_20260216_00118,2026-02-16T18:00:00+00:00,website,True,60,,custom,status
msg_20260217_00119,2026-02-17T16:50:00+00:00,website,True,60,,intake,refund_request
msg_20260217_00120,2026-02-17T16:10:00+00:00,whatsapp,True,12,,custom,general_question
msg_20260217_00121,2026-02-17T13:28:00+00:00,website,True,8,,intake,status
msg_20260217_00122,2026-02-17T19:32:00+00:00,website,True,8,,intake,complaint_damaged
msg_20260217_00123,2026-02-17T17:43:00+00:00,website,False,,date_unavailable,care,status
msg_20260217_00124,2026-02-17T19:08:00+00:00,whatsapp,True,20,,care,complaint_late
msg_20260217_00125,2026-02-17T14:08:00+00:00,website,True,8,,care,complaint_late
msg_20260217_00126,2026-02-17T08:21:00+00:00,instagram,True,60,,custom,status
msg_20260217_00127,2026-02-17T16:29:00+00:00,whatsapp,False,,no_reply_30min,general,refund_request
msg_20260217_00128,2026-02-17T21:21:00+00:00,whatsapp,False,,custom_too_complex,intake,status
msg_20260217_00129,2026-02-17T14:53:00+00:00,whatsapp,True,5,,intake,general_question
msg_20260217_00130,2026-02-17T18:21:00+00:00,website,True,12,,care,refund_request
msg_20260217_00131,2026-02-17T11:42:00+00:00,website,True,35,,general,complaint_damaged
msg_20260217_00132,2026-02-17T16:18:00+00:00,whatsapp,True,8,,intake,general_question
msg_20260217_00133,2026-02-17T20:55:00+00:00,website,True,5,,general,complaint_late
msg_20260217_00134,2026-02-17T10:20:00+00:00,website,True,8,,intake,complaint_late
msg_20260217_00135,2026-02-17T14:36:00+00:00,whatsapp,True,8,,custom,status
msg_20260217_00136,2026-02-17T12:31:00+00:00,website,True,3,,intake,complaint_late
msg_20260217_00137,2026-02-17T21:34:00+00:00,instagram,False,,allergen_unclear,care,general_question
msg_20260218_00138,2026-02-18T17:19:00+00:00,whatsapp,True,60,,intake,complaint_taste
msg_20260218_00139,2026-02-18T13:41:00+00:00,website,True,8,,intake,general_question
msg_20260218_00140,2026-02-18T16:54:00+00:00,website,True,3,,intake,complaint_taste
msg_20260218_00141,2026-02-18T09:25:00+00:00,whatsapp,True,35,,care,complaint_damaged
msg_20260218_00142,2026-02-18T20:55:00+00:00,instagram,True,8,,custom,complaint_damaged
msg_20260218_00143,2026-02-18T20:22:00+00:00,website,False,,no_reply_30min,care,complaint_late
msg_20260218_00144,2026-02-18T14:44:00+00:00,website,True,5,,intake,complaint_damaged
msg_20260218_00145,2026-02-18T13:16:00+00:00,website,True,12,,intake,status
msg_20260218_00146,2026-02-18T17:23:00+00:00,instagram,True,8,,care,complaint_late
msg_20260218_00147,2026-02-18T15:39:00+00:00,website,True,12,,care,complaint_taste
msg_20260218_00148,2026-02-18T18:51:00+00:00,whatsapp,True,5,,general,complaint_damaged
msg_20260218_00149,2026-02-18T18:37:00+00:00,website,True,12,,custom,refund_request
msg_20260218_00150,2026-02-18T21:22:00+00:00,website,False,,no_reply_30min,custom,complaint_late
msg_20260218_00151,2026-02-18T11:15:00+00:00,website,True,120,,intake,complaint_late
msg_20260219_00152,2026-02-19T16:13:00+00:00,website,False,,date_unavailable,custom,complaint_taste
msg_20260219_00153,2026-02-19T15:20:00+00:00,instagram,True,5,,intake,general_question
msg_20260219_00154,2026-02-19T13:14:00+00:00,website,True,35,,intake,complaint_damaged
msg_20260219_00155,2026-02-19T21:30:00+00:00,whatsapp,True,20,,care,status
msg_20260219_00156,2026-02-19T14:12:00+00:00,whatsapp,False,,price_concern,care,general_question
msg_20260219_00157,2026-02-19T18:01:00+00:00,website,True,20,,intake,complaint_taste
msg_20260219_00158,2026-02-19T20:27:00+00:00,website,True,60,,general,general_question
msg_20260219_00159,2026-02-19T16:01:00+00:00,whatsapp,True,12,,intake,general_question
msg_20260219_00160,2026-02-19T19:27:00+00:00,whatsapp,True,20,,intake,complaint_damaged
msg_20260219_00161,2026-02-19T19:26:00+00:00,website,True,120,,intake,status
msg_20260219_00162,2026-02-19T20:59:00+00:00,instagram,True,8,,custom,refund_request
msg_20260219_00163,2026-02-19T20:45:00+00:00,whatsapp,True,20,,care,status
msg_20260219_00164,2026-02-19T15:42:00+00:00,website,False,,allergen_unclear,care,complaint_taste
msg_20260219_00165,2026-02-19T17:32:00+00:00,website,True,20,,general,complaint_taste
msg_20260219_00166,2026-02-19T13:31:00+00:00,whatsapp,True,60,,intake,complaint_taste
msg_20260219_00167,2026-02-19T16:20:00+00:00,instagram,True,20,,general,refund_request
msg_20260219_00168,2026-02-19T14:24:00+00:00,whatsapp,False,,allergen_unclear,custom,status
msg_20260219_00169,2026-02-19T18:01:00+00:00,whatsapp,True,35,,general,complaint_damaged
msg_20260219_00170,2026-02-19T17:54:00+00:00,instagram,True,120,,intake,complaint_taste
msg_20260220_00171,2026-02-20T11:56:00+00:00,website,True,60,,care,general_question
msg_20260220_00172,2026-02-20T17:26:00+00:00,website,True,12,,intake,complaint_taste
msg_20260220_00173,2026-02-20T19:16:00+00:00,website,False,,other,care,complaint_taste
msg_20260220_00174,2026-02-20T18:52:00+00:00,website,True,35,,intake,complaint_late
msg_20260220_00175,2026-02-20T17:01:00+00:00,website,True,35,,intake,general_question
msg_20260220_00176,2026-02-20T16:39:00+00:00,website,True,20,,intake,complaint_taste
msg_20260220_00177,2026-02-20T17:01:00+00:00,whatsapp,False,,allergen_unclear,intake,complaint_late
msg_20260220_00178,2026-02-20T13:24:00+00:00,website,True,8,,intake,refund_request
msg_20260220_00179,2026-02-20T11:13:00+00:00,website,True,20,,general,general_question
msg_20260220_00180,2026-02-20T16:48:00+00:00,website,True,35,,custom,status
msg_20260220_00181,2026-02-20T19:13:00+00:00,website,True,5,,care,refund_request
msg_20260220_00182,2026-02-20T13:39:00+00:00,website,True,35,,general,complaint_taste
msg_20260220_00183,2026-02-20T20:26:00+00:00,website,False,,other,intake,status
msg_20260220_00184,2026-02-20T20:43:00+00:00,website,True,8,,intake,complaint_damaged
msg_20260220_00185,2026-02-20T21:12:00+00:00,website,True,20,,intake,complaint_damaged
msg_20260220_00186,2026-02-20T19:43:00+00:00,whatsapp,True,35,,care,complaint_late
msg_20260220_00187,2026-02-20T18:56:00+00:00,whatsapp,True,5,,care,complaint_late
msg_20260220_00188,2026-02-20T10:30:00+00:00,website,True,20,,general,status
msg_20260220_00189,2026-02-20T18:15:00+00:00,whatsapp,False,,custom_too_complex,intake,general_question
msg_20260220_00190,2026-02-20T14:14:00+00:00,whatsapp,False,,no_reply_30min,intake,complaint_damaged
msg_20260221_00191,2026-02-21T19:37:00+00:00,whatsapp,True,35,,intake,complaint_late
msg_20260221_00192,2026-02-21T19:37:00+00:00,website,True,20,,intake,complaint_late
msg_20260221_00193,2026-02-21T16:25:00+00:00,website,True,35,,intake,complaint_late
msg_20260221_00194,2026-02-21T21:33:00+00:00,whatsapp,True,35,,care,complaint_taste
msg_20260221_00195,2026-02-21T18:09:00+00:00,instagram,True,12,,general,complaint_damaged
msg_20260221_00196,2026-02-21T11:44:00+00:00,instagram,True,3,,care,complaint_taste
msg_20260221_00197,2026-02-21T17:25:00+00:00,website,True,8,,intake,complaint_damaged
msg_20260221_00198,2026-02-21T17:45:00+00:00,website,True,8,,custom,general_question
msg_20260221_00199,2026-02-21T14:42:00+00:00,instagram,True,35,,intake,complaint_taste
msg_20260221_00200,2026-02-21T12:50:00+00:00,website,False,,no_reply_30min,intake,general_question
msg_20260221_00201,2026-02-21T13:14:00+00:00,website,True,5,,custom,complaint_damaged
msg_20260221_00202,2026-02-21T09:41:00+00:00,website,True,35,,general,complaint_damaged
msg_20260221_00203,2026-02-21T14:44:00+00:00,website,True,20,,custom,complaint_late
msg_20260221_00204,2026-02-21T15:58:00+00:00,whatsapp,False,,allergen_unclear,intake,complaint_taste
msg_20260221_00205,2026-02-21T18:52:00+00:00,website,False,,no_reply_30min,general,general_question
msg_20260221_00206,2026-02-21T19:21:00+00:00,whatsapp,True,60,,intake,refund_request
msg_20260221_00207,2026-02-21T10:37:00+00:00,whatsapp,True,8,,intake,complaint_damaged
msg_20260221_00208,2026-02-21T10:22:00+00:00,website,True,35,,intake,general_question
msg_20260221_00209,2026-02-21T19:24:00+00:00,website,True,35,,intake,refund_request
msg_20260221_00210,2026-02-21T19:52:00+00:00,whatsapp,True,20,,intake,complaint_damaged
msg_20260221_00211,2026-02-21T19:40:00+00:00,whatsapp,True,12,,care,complaint_taste
msg_20260221_00212,2026-02-21T15:25:00+00:00,website,True,120,,intake,general_question
msg_20260221_00213,2026-02-21T10:45:00+00:00,whatsapp,True,60,,custom,status
msg_20260221_00214,2026-02-21T19:34:00+00:00,website,True,20,,general,complaint_late
msg_20260221_00215,2026-02-21T14:37:00+00:00,website,False,,custom_too_complex,intake,complaint_damaged
msg_20260222_00216,2026-02-22T18:13:00+00:00,instagram,True,35,,care,refund_request
msg_20260222_00217,2026-02-22T17:16:00+00:00,instagram,True,35,,care,status
msg_20260222_00218,2026-02-22T19:33:00+00:00,website,False,,allergen_unclear,intake,complaint_taste
msg_20260222_00219,2026-02-22T19:23:00+00:00,instagram,True,35,,general,general_question
msg_20260222_00220,2026-02-22T18:07:00+00:00,instagram,True,3,,care,complaint_damaged
msg_20260222_00221,2026-02-22T18:49:00+00:00,website,True,60,,intake,general_question
msg_20260222_00222,2026-02-22T18:33:00+00:00,whatsapp,True,60,,intake,complaint_damaged
msg_20260222_00223,2026-02-22T20:05:00+00:00,whatsapp,True,3,,care,general_question
msg_20260222_00224,2026-02-22T17:18:00+00:00,website,True,20,,intake,complaint_damaged
msg_20260222_00225,2026-02-22T10:37:00+00:00,website,True,5,,care,refund_request
msg_20260222_00226,2026-02-22T19:05:00+00:00,website,True,3,,intake,refund_request
msg_20260223_00227,2026-02-23T20:06:00+00:00,whatsapp,True,35,,care,refund_request
msg_20260223_00228,2026-02-23T18:47:00+00:00,website,True,5,,general,refund_request
msg_20260223_00229,2026-02-23T15:52:00+00:00,website,False,,allergen_unclear,intake,complaint_late
msg_20260224_00230,2026-02-24T19:03:00+00:00,whatsapp,True,12,,intake,complaint_late
msg_20260224_00231,2026-02-24T15:36:00+00:00,website,False,,no_reply_30min,intake,refund_request
msg_20260224_00232,2026-02-24T21:45:00+00:00,whatsapp,False,,no_reply_30min,intake,complaint_late
msg_20260224_00233,2026-02-24T19:13:00+00:00,website,True,35,,general,status
msg_20260224_00234,2026-02-24T17:15:00+00:00,website,True,20,,general,refund_request
msg_20260224_00235,2026-02-24T10:42:00+00:00,instagram,True,5,,general,complaint_damaged
msg_20260224_00236,2026-02-24T13:31:00+00:00,instagram,False,,other,general,general_question
msg_20260224_00237,2026-02-24T15:08:00+00:00,instagram,True,8,,custom,general_question
msg_20260224_00238,2026-02-24T17:57:00+00:00,website,False,,no_reply_30min,intake,general_question
msg_20260224_00239,2026-02-24T10:18:00+00:00,whatsapp,True,120,,care,complaint_taste
msg_20260224_00240,2026-02-24T16:16:00+00:00,website,True,35,,general,status
msg_20260224_00241,2026-02-24T13:14:00+00:00,website,True,3,,intake,status
msg_20260225_00242,2026-02-25T19:47:00+00:00,whatsapp,False,,price_concern,intake,general_question
msg_20260225_00243,2026-02-25T15:52:00+00:00,website,True,8,,intake,complaint_damaged
msg_20260225_00244,2026-02-25T11:40:00+00:00,website,True,60,,care,general_question
msg_20260225_00245,2026-02-25T12:20:00+00:00,website,True,12,,intake,general_question
msg_20260225_00246,2026-02-25T18:21:00+00:00,website,False,,no_reply_30min,general,complaint_taste
msg_20260225_00247,2026-02-25T11:59:00+00:00,instagram,True,5,,intake,refund_request
msg_20260225_00248,2026-02-25T13:15:00+00:00,website,True,8,,custom,general_question
msg_20260225_00249,2026-02-25T11:14:00+00:00,whatsapp,False,,allergen_unclear,intake,complaint_damaged
msg_20260225_00250,2026-02-25T20:39:00+00:00,instagram,True,35,,care,complaint_taste
msg_20260225_00251,2026-02-25T11:03:00+00:00,website,True,20,,intake,complaint_damaged
msg_20260225_00252,2026-02-25T20:01:00+00:00,whatsapp,True,12,,intake,status
msg_20260225_00253,2026-02-25T20:39:00+00:00,instagram,False,,allergen_unclear,intake,status
msg_20260225_00254,2026-02-25T20:37:00+00:00,whatsapp,True,8,,general,status
msg_20260225_00255,2026-02-25T13:14:00+00:00,website,False,,no_reply_30min,general,complaint_damaged
msg_20260225_00256,2026-02-25T15:57:00+00:00,instagram,True,12,,custom,complaint_late
msg_20260225_00257,2026-02-25T12:11:00+00:00,whatsapp,True,8,,intake,refund_request
msg_20260225_00258,2026-02-25T16:41:00+00:00,whatsapp,True,60,,intake,complaint_damaged
msg_20260225_00259,2026-02-25T15:28:00+00:00,whatsapp,True,120,,custom,status
msg_20260225_00260,2026-02-25T14:40:00+00:00,whatsapp,True,120,,custom,refund_request
msg_20260225_00261,2026-02-25T08:02:00+00:00,website,True,12,,intake,refund_request
msg_20260225_00262,2026-02-25T14:55:00+00:00,instagram,True,8,,intake,status
msg_20260225_00263,2026-02-25T16:19:00+00:00,whatsapp,True,35,,intake,complaint_damaged
msg_20260226_00264,2026-02-26T21:30:00+00:00,website,True,35,,custom,complaint_taste
msg_20260226_00265,2026-02-26T18:06:00+00:00,website,False,,no_reply_30min,intake,general_question
msg_20260226_00266,2026-02-26T16:10:00+00:00,website,True,12,,general,refund_request
msg_20260226_00267,2026-02-26T14:55:00+00:00,website,True,5,,intake,complaint_damaged
msg_20260226_00268,2026-02-26T12:53:00+00:00,whatsapp,True,35,,intake,general_question
msg_20260226_00269,2026-02-26T16:11:00+00:00,whatsapp,True,5,,care,complaint_damaged
msg_20260226_00270,2026-02-26T13:27:00+00:00,website,True,120,,care,complaint_late
msg_20260226_00271,2026-02-26T16:02:00+00:00,instagram,True,35,,care,general_question
msg_20260226_00272,2026-02-26T19:03:00+00:00,instagram,True,5,,intake,refund_request
msg_20260226_00273,2026-02-26T20:00:00+00:00,whatsapp,False,,no_reply_30min,intake,status
msg_20260226_00274,2026-02-26T18:43:00+00:00,website,False,,no_reply_30min,general,complaint_late
msg_20260226_00275,2026-02-26T21:35:00+00:00,website,True,35,,custom,refund_request
msg_20260226_00276,2026-02-26T13:03:00+00:00,whatsapp,True,3,,intake,general_question
msg_20260226_00277,2026-02-26T19:05:00+00:00,website,True,120,,care,complaint_taste
msg_20260226_00278,2026-02-26T10:02:00+00:00,instagram,True,120,,intake,refund_request
msg_20260226_00279,2026-02-26T21:25:00+00:00,website,True,20,,intake,general_question
msg_20260227_00280,2026-02-27T17:06:00+00:00,website,True,20,,intake,complaint_damaged
msg_20260227_00281,2026-02-27T21:10:00+00:00,whatsapp,False,,no_reply_30min,custom,refund_request
msg_20260227_00282,2026-02-27T16:55:00+00:00,website,True,8,,intake,refund_request
msg_20260227_00283,2026-02-27T13:24:00+00:00,website,False,,price_concern,intake,status
msg_20260227_00284,2026-02-27T19:36:00+00:00,instagram,True,20,,care,complaint_taste
msg_20260227_00285,2026-02-27T18:58:00+00:00,website,True,8,,intake,general_question
msg_20260227_00286,2026-02-27T14:27:00+00:00,website,False,,no_reply_30min,intake,general_question
msg_20260227_00287,2026-02-27T12:29:00+00:00,website,True,20,,care,complaint_taste
msg_20260227_00288,2026-02-27T14:15:00+00:00,website,True,35,,intake,complaint_taste
msg_20260228_00289,2026-02-28T15:32:00+00:00,website,True,12,,custom,status
msg_20260228_00290,2026-02-28T19:32:00+00:00,instagram,True,5,,care,complaint_late
msg_20260228_00291,2026-02-28T20:27:00+00:00,website,True,12,,care,complaint_damaged
msg_20260228_00292,2026-02-28T21:16:00+00:00,whatsapp,False,,no_reply_30min,intake,status
msg_20260228_00293,2026-02-28T11:03:00+00:00,whatsapp,True,3,,intake,complaint_taste
msg_20260228_00294,2026-02-28T10:52:00+00:00,instagram,True,20,,intake,complaint_damaged
msg_20260228_00295,2026-02-28T12:32:00+00:00,instagram,True,3,,intake,complaint_damaged
msg_20260228_00296,2026-02-28T13:46:00+00:00,whatsapp,True,60,,intake,refund_request
msg_20260228_00297,2026-02-28T19:14:00+00:00,website,True,60,,custom,refund_request
msg_20260228_00298,2026-02-28T14:12:00+00:00,website,False,,custom_too_complex,intake,complaint_taste
msg_20260228_00299,2026-02-28T17:11:00+00:00,website,True,3,,intake,complaint_late
msg_20260228_00300,2026-02-28T13:47:00+00:00,website,False,,no_reply_30min,care,refund_request
msg_20260228_00301,2026-02-28T21:03:00+00:00,instagram,True,35,,intake,refund_request
msg_20260228_00302,2026-02-28T10:37:00+00:00,website,True,5,,custom,general_question
msg_20260228_00303,2026-02-28T09:27:00+00:00,website,True,60,,intake,complaint_taste
msg_20260228_00304,2026-02-28T21:13:00+00:00,website,True,120,,intake,complaint_taste
msg_20260228_00305,2026-02-28T09:15:00+00:00,website,False,,price_concern,intake,complaint_damaged
msg_20260228_00306,2026-02-28T21:00:00+00:00,website,True,12,,care,general_question
msg_20260228_00307,2026-02-28T12:42:00+00:00,website,False,,price_concern,care,complaint_taste
msg_20260228_00308,2026-02-28T15:29:00+00:00,website,True,20,,custom,refund_request
msg_20260228_00309,2026-02-28T18:08:00+00:00,website,True,20,,care,refund_request
msg_20260228_00310,2026-02-28T15:18:00+00:00,whatsapp,True,35,,intake,refund_request
msg_20260228_00311,2026-02-28T11:13:00+00:00,whatsapp,False,,allergen_unclear,general,refund_request
msg_20260228_00312,2026-02-28T21:23:00+00:00,instagram,True,60,,custom,complaint_damaged
